私は日本の出身だ / 私は日本から来た。,"I'm from ~ 

```
I'm from Japan.
```"
ブライアン、あなたはアメリカの出身ですか？,"Brian, are you from the U.S.?"
私は試験を受ける準備ができています,"I'm ready for/to ~

```
I'm ready to take the test.
```"
私は寝る準備ができています。,"I'm ready for/to ~

```
I'm ready for bed.
```"
良かったね、ジム。,"I'm happy for ~(人)
良いことがあったときにその人に「良かったね」というときのパターン

```
I'm happy for Jim.
```"
弟のことが心配だ。,"I'm worried about ~ 

```
I'm worried about my brother.
```"
私は今、パソコンを使用中だ。,"I'm on ~
「〜しているところだ」という場合に `on` だけで表現できる

```
I'm on the computer.
```"
私は今、ダイエット中だ。,"I'm on ~

```
I'm on a diet.
```"
ここには仕事のために来ました。,"I'm here for/to ~ : ~のためにここに来た/しに来た

```
I'm here for my business.
```"
残念ながらお手伝いできません。,"I'm afraid (that) ~ : 残念ながら~です
相手に言いにくいことを言うとき、柔らかい表現になる

```
I'm afraid that I can't help you.
```"
私は最近太ってきた。,"I'm getting ~ : どんどん ~ になる
「~ になる」は `become` ではなく `get` がよく使われる

```
I'm getting fat these days.
```"
私は英語を身に着けようとしている。,"I'm trying to ~ : 私は~しようとしている
目標に向かって努力しているときや何かに熱中しているときに使う

```
I'm trying to learn English.
```"
私は仕事をやめようと思っている。,"I'm thinking of ~ : ~しようと思っている
決定ができずに悩んでいるときにピッタリ

```
I'm thinking of quitting my job.
```"
今度の週末が楽しみだ,"I'm looking forward to ~ : ~ が楽しみだ
本当に楽しみなことがあるときに使われる

```
I'm looking forward to this weekend.
```"
休憩させてもらえないかと思って（休憩させてもらってもよいでしょうか）,"I was wondering if ~ : 

```
I was wondering if I could have a break.
```"
つまり私は反対だ（私が言いたいのは反対だということだ）,"What I'm saying is ~ : 私が言いたいのは~ということだ、つまり~だ

```
What I'm saying is I disagree.
```"
今夜は外食するつもりだ,"I'm going to ~ 

```
I'm going to eat out tonight.
```"
同じことをしようとしていたところだ。,"I was just going to ~ : ~しようとしていたところだ
自分が言おうとしていたことを相手が先に言ってしまったときなどに使う

```
I was just going to do the same thing.
```
"
諦めることになりそうだ,"I think I'm going to ~ : ~しそうだ
直訳すると「〜だと思う」だが会話では「〜みたいだ」という意味で使われる

```
I think I'm just going to give up.
```"
彼女と働くのは我慢できない,"I can't stand ~ : ~には我慢できない
standは立っているという意味ではなく我慢するという意味

```
I can't stand working with her.
```"
心配せずにはいられない,"I can't stop ~ ing : ~せずにはいられない

```
I can't stop worrying.
```"
君がそれをわざとやったのかどうかわからない,"I can't tell if ~ : ~かどうかわからない
このtellはcan'tと合わせて「わからない」という意味になる

```
I can't tell if you did that on purpose.
```"
なぜ君が混乱しているのかわからない,"I can't understand why ~ : なぜ ~ なのかわからない
どうしても理解できない状況に対して使うパターン

```
I can't understand why you're confused.
```"
